"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:31,4","6:31,4","1,00","6:31","141","153","4","--","180","253","50,6% L / 49,4% R","0,84","7,4","8,6","94","5:50","182","6:31","6:31"
"2","6:45,2","13:17","1,00","6:45","143","149","3","--","180","250","50,5% L / 49,5% R","0,81","7,6","9,2","91","5:51","182","6:45","6:45"
"3","6:51,8","20:08","1,00","6:52","145","150","17","7","180","252","51,0% L / 49,0% R","0,80","7,6","9,3","96","6:21","183","6:51,8","6:52"
"4","6:49,3","26:58","1,00","6:49","141","148","7","2","180","249","51,2% L / 48,8% R","0,81","7,8","9,5","93","6:28","182","6:49","6:49"
"5","6:43,2","33:41","1,00","6:43","141","150","--","7","180","248","51,3% L / 48,7% R","0,83","7,9","9,2","93","6:33","182","6:43,2","6:43"
"6","6:34,9","40:16","1,00","6:35","142","148","4","7","180","243","51,5% L / 48,5% R","0,83","8,1","9,5","89","6:10","182","6:34,9","6:35"
"7","6:31,3","46:47","1,00","6:31","146","151","--","9","180","245","51,3% L / 48,7% R","0,85","8,0","9,2","92","6:11","182","6:31","6:31"
"8","6:35,0","53:22","1,00","6:35","148","153","--","2","180","243","52,1% L / 47,9% R","0,84","8,2","9,6","92","6:19","182","6:35,0","6:35"
"9","6:40,0","1:00:02","1,00","6:40","151","155","--","2","180","245","52,1% L / 47,9% R","0,84","8,2","9,5","94","6:00","182","6:40,0","6:40"
"10","6:36,3","1:06:38","1,00","6:36","152","156","--","4","180","247","52,1% L / 47,9% R","0,83","8,2","9,6","90","6:21","183","6:36","6:36"
"11","6:53,2","1:13:31","1,00","6:53","150","156","--","2","178","251","52,3% L / 47,7% R","0,84","8,1","9,6","93","6:19","182","6:43","6:43"
"12","6:42,1","1:20:14","1,00","6:42","150","154","5","2","180","250","52,1% L / 47,9% R","0,81","8,1","9,8","90","6:23","182","6:42,1","6:42"
"13","6:50,6","1:27:04","1,00","6:51","150","154","--","2","180","248","51,8% L / 48,2% R","0,81","8,2","9,9","92","6:16","182","6:50","6:50"
"14","6:48,3","1:33:52","1,00","6:48","153","159","3","3","180","251","51,6% L / 48,4% R","0,81","8,1","9,8","92","6:28","183","6:48","6:48"
"15","7:00,1","1:40:53","1,00","7:00","157","161","--","--","180","247","51,2% L / 48,8% R","0,80","8,3","10,3","96","6:31","182","7:00","7:00"
"16","6:51,8","1:47:44","1,00","6:52","158","165","9","5","180","250","51,1% L / 48,9% R","0,79","8,2","10,2","93","6:24","182","6:51,8","6:52"
"17","6:44,1","1:54:28","1,00","6:44","161","166","--","3","180","248","51,2% L / 48,8% R","0,84","8,3","9,7","99","6:15","182","6:44","6:44"
"18","6:46,3","2:01:15","1,00","6:46","163","168","3","--","180","248","51,3% L / 48,7% R","0,81","8,3","10,1","92","6:20","182","6:46,3","6:46"
"19","6:41,4","2:07:56","1,00","6:41","165","170","3","--","180","242","51,3% L / 48,7% R","0,84","8,6","10,1","100","6:12","188","6:41","6:41"
"20","6:47,9","2:14:44","1,00","6:48","165","170","--","--","179","245","51,2% L / 48,8% R","0,81","8,4","10,4","101","5:48","182","6:47,9","6:48"
"21","6:43,5","2:21:27","1,00","6:43","168","172","4","--","180","246","50,9% L / 49,1% R","0,83","8,3","9,9","98","6:17","182","6:42","6:42"
"22","7:03,8","2:28:31","1,00","7:04","170","173","13","--","180","244","51,0% L / 49,0% R","0,78","8,3","10,5","108","6:17","183","7:03,8","7:04"
"23","7:05,5","2:35:37","1,00","7:06","168","173","3","5","176","253","51,2% L / 48,8% R","0,81","8,3","10,3","106","6:34","182","7:05","7:05"
"24","6:52,6","2:42:29","1,00","6:53","168","174","--","9","172","256","51,3% L / 48,7% R","0,85","8,4","9,7","105","6:16","182","6:52","6:52"
"25","7:15,6","2:49:45","1,00","7:16","170","177","--","7","174","253","51,0% L / 49,0% R","0,79","8,2","10,2","112","6:37","182","7:15,6","7:16"
"26","5:33,6","2:55:19","0,81","6:53","174","180","--","--","178","244","51,0% L / 49,0% R","0,81","8,5","10,3","86","6:35","182","5:33","6:53"
"Summary","2:55:19","2:55:19","25,81","6:48","155","180","78","77","179","248","51,3% L / 48,7% R","0,82","8,1","9,8","2.487","5:48","188","2:55:02","6:47"
