"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:33,9","6:33,9","1,00","6:34","130","138","7","--","180","257","51,3% L / 48,7% R","0,81","7,5","9,1","84","5:58","186","6:29","6:29"
"2","6:48,9","13:23","1,00","6:49","132","138","7","9","185","250","51,2% L / 48,8% R","0,80","7,2","8,7","91","6:27","188","6:48","6:48"
"3","6:52,5","20:15","1,00","6:53","133","139","7","12","186","248","51,3% L / 48,7% R","0,76","7,1","9,2","86","6:27","188","6:52","6:52"
"4","6:51,4","27:07","1,00","6:51","134","139","--","3","186","249","51,3% L / 48,8% R","0,78","7,2","9,1","89","6:23","188","6:51","6:51"
"5","6:57,2","34:04","1,00","6:57","137","141","7","5","185","248","51,3% L / 48,7% R","0,76","7,3","9,4","91","6:41","188","6:57,2","6:57"
"6","6:45,5","40:49","1,00","6:46","140","143","7","--","184","248","51,4% L / 48,6% R","0,80","7,6","9,4","93","6:08","186","6:45,5","6:45"
"7","6:41,9","47:31","1,00","6:42","141","147","8","14","184","245","51,1% L / 48,9% R","0,82","7,7","9,1","95","6:16","187","6:41","6:41"
"8","6:49,1","54:20","1,00","6:49","143","150","8","5","183","250","51,0% L / 49,0% R","0,77","7,7","9,8","86","6:10","186","6:49","6:49"
"9","6:46,9","1:01:07","1,00","6:47","144","150","6","5","182","249","51,1% L / 48,9% R","0,82","7,9","9,5","95","6:11","184","6:46,9","6:47"
"10","7:05,0","1:08:12","1,00","7:05","147","153","21","10","175","252","51,0% L / 49,0% R","0,77","7,9","10,2","91","6:19","186","6:52","6:52"
"11","6:36,5","1:14:49","1,00","6:37","149","153","--","10","181","248","51,1% L / 48,9% R","0,84","8,1","9,5","93","5:58","184","6:36,5","6:37"
"12","7:07,0","1:21:56","1,00","7:07","150","154","4","--","180","251","51,0% L / 49,0% R","0,78","8,1","10,3","92","6:30","183","7:07,0","7:07"
"13","7:17,3","1:29:13","1,00","7:17","147","154","7","--","179","254","50,9% L / 49,1% R","0,76","8,1","10,4","89","6:55","183","7:17","7:17"
"14","6:57,8","1:36:11","1,00","6:58","147","152","5","12","179","254","51,3% L / 48,7% R","0,81","8,2","9,9","91","6:20","182","6:57,8","6:58"
"15","6:57,4","1:43:08","1,00","6:57","149","155","8","4","179","253","51,3% L / 48,8% R","0,80","8,2","10,1","90","6:40","182","6:57","6:57"
"16","7:07,0","1:50:15","1,00","7:07","148","154","3","5","172","264","51,4% L / 48,6% R","0,81","7,9","9,5","90","6:15","187","7:07,0","7:07"
"17","7:05,1","1:57:20","1,00","7:05","153","157","--","2","180","252","51,3% L / 48,7% R","0,79","8,2","10,2","91","6:37","182","7:05","7:05"
"18","7:19,3","2:04:40","1,00","7:19","150","158","--","2","177","256","51,0% L / 49,0% R","0,78","7,9","10,1","90","6:30","184","7:19","7:19"
"19","7:16,1","2:11:56","1,00","7:16","150","155","5","4","179","254","51,0% L / 49,0% R","0,76","8,1","10,5","86","6:52","183","7:16,1","7:16"
"20","2:36,5","2:14:32","0,38","6:52","153","158","--","5","179","253","51,0% L / 49,0% R","0,81","8,4","10,1","34","6:33","181","2:36","6:51"
"Summary","2:14:32","2:14:32","19,38","6:56","144","158","109","104","181","252","51,2% L / 48,8% R","0,79","7,8","9,7","1.747","5:58","188","2:14:10","6:55"
