"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","7:20,1","7:20,1","1,00","7:20","131","143","6","4","177","0,77","93","6:54","219","7:20","7:20"
"2","7:06,5","14:27","1,00","7:06","146","155","--","","180","0,78","101","6:51","182","7:06,5","7:07"
"3","7:12,9","21:40","1,00","7:13","148","153","5","--","180","0,77","99","6:47","182","7:12,9","7:13"
"4","7:21,0","29:01","1,00","7:21","156","167","--","5","179","0,76","105","6:52","182","7:21,0","7:21"
"5","7:20,8","36:21","1,00","7:21","158","168","7","5","179","0,76","108","6:52","182","7:20","7:20"
"6","7:18,2","43:40","1,00","7:18","159","164","3","2","179","0,76","108","7:02","182","7:18,2","7:18"
"7","7:29,4","51:09","1,00","7:29","164","167","5","8","180","0,74","117","6:57","182","7:28","7:28"
"8","7:16,0","58:25","1,00","7:16","166","170","2","3","179","0,77","112","6:54","182","7:16,0","7:16"
"9","7:22,2","1:05:47","1,00","7:22","168","172","1","--","177","0,77","112","7:07","182","7:22","7:22"
"10","7:42,9","1:13:30","1,00","7:43","166","175","--","--","169","0,77","117","7:04","180","7:42,9","7:43"
"11","7:31,0","1:21:01","1,00","7:31","169","174","3","--","169","0,79","121","7:05","176","7:31","7:31"
"12","7:19,8","1:28:21","1,00","7:20","172","181","--","3","170","0,80","116","6:57","174","7:19,8","7:20"
"13","7:19,9","1:35:41","1,00","7:20","174","178","--","--","170","0,80","126","6:46","176","7:19,9","7:20"
"14","7:16,3","1:42:57","1,00","7:16","175","180","--","--","168","0,82","123","6:37","172","7:16","7:16"
"15","3:22,3","1:46:19","0,50","6:41","176","179","--","3","166","0,90","57","6:46","170","3:22","6:40"
"Summary","1:46:19","1:46:19","14,50","7:20","161","181","34","35","175","0,78","1.615","6:37","219","1:46:16","7:20"
