"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:18,0","6:18,0","1,00","6:18","128","140","2","--","180","257","51,7% L / 48,3% R","0,88","7,5","8,3","85","6:07","184","6:12","6:12"
"2","6:23,2","12:41","1,00","6:23","135","140","--","--","180","256","52,3% L / 47,8% R","0,87","7,5","8,5","90","6:06","182","6:23","6:23"
"3","6:33,4","19:15","1,00","6:33","136","142","--","--","180","257","51,9% L / 48,1% R","0,83","7,5","8,8","89","6:17","183","6:33,4","6:33"
"4","6:54,0","26:09","1,00","6:54","135","145","6","--","180","257","52,0% L / 48,0% R","0,80","7,4","9,2","89","5:56","182","6:54","6:54"
"5","6:56,9","33:05","1,00","6:57","136","143","3","6","180","257","51,8% L / 48,2% R","0,81","7,5","9,1","92","6:37","182","6:56,9","6:57"
"6","7:09,1","40:15","1,00","7:09","135","142","--","2","180","258","51,9% L / 48,1% R","0,78","7,4","9,4","90","6:57","183","7:09","7:09"
"7","7:10,9","47:25","1,00","7:11","136","145","8","8","180","258","51,9% L / 48,1% R","0,77","7,5","9,6","89","6:33","185","7:10,9","7:11"
"8","7:09,7","54:35","1,00","7:10","135","140","--","--","180","257","51,7% L / 48,3% R","0,77","7,6","9,7","88","6:54","182","7:09,7","7:10"
"9","7:17,8","1:01:53","1,00","7:18","135","143","3","--","180","259","51,7% L / 48,3% R","0,76","7,5","9,8","89","6:52","184","7:17,8","7:18"
"10","7:25,2","1:09:18","1,00","7:25","138","144","4","--","180","257","51,7% L / 48,3% R","0,74","7,6","10,1","88","7:04","182","7:25","7:25"
"11","7:40,7","1:16:59","1,00","7:41","140","153","9","5","179","263","51,6% L / 48,4% R","0,73","7,5","10,1","88","6:57","183","7:40,7","7:41"
"12","7:42,0","1:24:41","1,00","7:42","136","153","3","3","180","260","51,7% L / 48,3% R","0,73","7,5","10,1","86","7:21","183","7:42","7:42"
"13","7:25,4","1:32:06","1,00","7:25","136","141","7","1","180","258","51,5% L / 48,5% R","0,72","7,6","10,4","85","6:55","183","7:25","7:25"
"14","7:06,1","1:39:12","1,00","7:06","137","143","--","6","180","255","51,6% L / 48,4% R","0,78","7,8","9,9","87","6:33","182","7:06,1","7:06"
"15","7:16,8","1:46:29","1,00","7:17","140","149","5","--","180","258","51,4% L / 48,6% R","0,76","7,7","9,9","87","6:41","183","7:15","7:15"
"16","6:08,4","1:52:38","1,00","6:08","155","161","5","6","180","248","51,7% L / 48,3% R","0,90","8,3","9,1","93","5:54","182","6:08,4","6:08"
"17","6:16,0","1:58:54","1,00","6:16","154","159","2","6","180","248","51,8% L / 48,2% R","0,89","8,3","9,2","91","5:52","182","6:16,0","6:16"
"18","6:43,5","2:05:37","1,00","6:44","151","156","--","6","180","250","51,8% L / 48,2% R","0,83","8,1","9,6","91","6:00","182","6:43","6:43"
"19","6:53,8","2:12:31","1,00","6:54","152","156","5","6","180","250","51,8% L / 48,2% R","0,80","8,1","10,0","89","6:31","182","6:53,8","6:54"
"20","6:48,4","2:19:19","1,00","6:48","153","157","8","12","180","254","51,7% L / 48,3% R","0,83","8,1","9,6","95","6:15","183","6:48,4","6:48"
"21","6:58,4","2:26:18","1,00","6:58","154","162","--","--","180","252","51,6% L / 48,4% R","0,80","8,1","10,0","92","6:40","184","6:58","6:58"
"22","6:49,4","2:33:07","1,00","6:49","158","162","4","3","180","251","51,7% L / 48,3% R","0,80","8,2","10,1","93","6:13","182","6:49","6:49"
"23","7:22,9","2:40:30","1,00","7:23","155","160","1","3","180","255","51,8% L / 48,2% R","0,77","7,9","10,2","91","6:23","182","7:22,9","7:23"
"24","7:11,4","2:47:41","1,00","7:11","160","164","1","--","180","253","51,5% L / 48,5% R","0,77","8,0","10,3","92","6:46","182","7:11,4","7:11"
"25","0:42,9","2:48:24","0,11","6:43","162","164","--","--","180","252","51,5% L / 48,5% R","0,82","8,2","9,8","9","6:44","182","0:42,9","6:43"
"Summary","2:48:24","2:48:24","24,11","6:59","143","164","75","71","180","255","51,7% L / 48,3% R","0,79","7,8","9,6","2.158","5:52","185","2:48:14","6:59"
