"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:48,1","6:48,1","1,00","6:48","117","126","--","3","179","264","51,2% L / 48,8% R","0,81","7,2","8,6","89","6:30","183","6:43","6:43"
"2","6:32,9","13:21","1,00","6:33","124","131","2","--","180","255","51,3% L / 48,7% R","0,85","7,5","8,6","93","5:36","182","6:32,9","6:33"
"3","6:41,6","20:03","1,00","6:42","127","135","--","2","180","256","51,5% L / 48,5% R","0,83","7,5","8,9","95","6:34","182","6:41","6:41"
"4","6:38,4","26:41","1,00","6:38","129","135","4","--","180","254","51,7% L / 48,3% R","0,84","7,6","8,9","95","6:28","182","6:38,4","6:38"
"5","6:51,2","33:32","1,00","6:51","132","141","4","--","180","255","51,5% L / 48,5% R","0,78","7,6","9,6","90","6:17","183","6:50","6:50"
"6","7:01,5","40:34","1,00","7:02","132","144","--","3","180","257","51,4% L / 48,6% R","0,79","7,6","9,5","95","6:27","182","7:01","7:01"
"7","6:49,2","47:23","1,00","6:49","133","140","4","4","180","256","51,4% L / 48,6% R","0,81","7,6","9,2","95","6:33","183","6:49,2","6:49"
"8","6:53,5","54:16","1,00","6:54","134","139","--","--","180","256","51,6% L / 48,4% R","0,80","7,6","9,3","94","6:49","182","6:53","6:53"
"9","6:52,8","1:01:09","1,00","6:53","134","140","--","--","180","254","51,5% L / 48,5% R","0,81","7,7","9,4","97","6:38","182","6:52,8","6:53"
"10","6:36,8","1:07:46","1,00","6:37","142","153","14","--","180","252","51,5% L / 48,5% R","0,83","8,0","9,6","94","6:19","183","6:36,8","6:37"
"11","6:25,4","1:14:11","1,00","6:25","150","156","--","6","180","249","51,9% L / 48,1% R","0,88","8,1","9,0","101","6:12","183","6:25","6:25"
"12","6:39,5","1:20:51","1,00","6:40","147","154","5","4","180","250","51,8% L / 48,2% R","0,85","8,1","9,3","100","5:10","182","6:39,5","6:40"
"13","6:30,6","1:27:22","1,00","6:31","148","151","3","--","179","249","51,2% L / 48,8% R","0,84","8,3","9,6","95","6:13","182","6:30","6:30"
"14","6:40,4","1:34:02","1,00","6:40","149","155","4","4","180","250","51,6% L / 48,4% R","0,83","8,1","9,6","99","5:33","184","6:40,4","6:40"
"15","6:38,6","1:40:41","1,00","6:39","150","156","2","--","179","256","52,0% L / 48,0% R","0,81","8,1","10,0","94","6:03","182","6:38","6:38"
"16","6:20,3","1:47:01","1,00","6:20","149","154","3","8","180","247","52,1% L / 47,9% R","0,89","8,4","9,3","96","6:01","182","6:20,3","6:20"
"17","6:24,7","1:53:26","1,00","6:25","151","155","--","9","180","247","51,9% L / 48,1% R","0,86","8,3","9,5","93","6:05","182","6:24","6:24"
"18","6:36,9","2:00:03","1,00","6:37","150","157","--","2","180","247","51,7% L / 48,3% R","0,84","8,3","9,6","97","6:16","182","6:36,9","6:37"
"19","6:49,6","2:06:52","1,00","6:50","152","155","3","2","180","249","51,5% L / 48,5% R","0,81","8,1","9,9","97","6:24","182","6:49,6","6:50"
"20","7:02,4","2:13:55","1,00","7:02","150","154","--","--","179","251","50,7% L / 49,3% R","0,79","8,1","10,1","99","6:17","182","7:02","7:02"
"21","6:55,7","2:20:50","1,00","6:56","151","158","--","--","180","251","51,0% L / 49,0% R","0,79","8,0","9,9","95","6:34","182","6:55,7","6:56"
"22","2:09,4","2:23:00","0,31","6:57","153","158","--","--","179","252","50,7% L / 49,3% R","0,82","8,2","9,8","30","6:37","182","2:08","6:52"
"Summary","2:23:00","2:23:00","21,31","6:43","141","158","48","47","180","253","51,5% L / 48,5% R","0,83","7,9","9,4","2.033","5:10","184","2:22:48","6:42"
