"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","7:08,3","7:08,3","1,00","7:08","130","137","8","7","180","268","51,8% L / 48,2% R","0,77","7,1","9,0","93","6:37","182","7:04","7:04"
"2","7:08,4","14:17","1,00","7:08","133","137","4","--","180","265","52,1% L / 47,9% R","0,78","7,2","9,1","96","6:52","182","7:08","7:08"
"3","7:12,1","21:29","1,00","7:12","136","144","3","--","180","265","52,1% L / 47,9% R","0,78","7,3","9,1","105","6:51","182","7:12","7:12"
"4","7:10,9","28:40","1,00","7:11","136","141","9","--","180","261","52,0% L / 48,0% R","0,77","7,4","9,4","99","6:55","182","7:10,9","7:11"
"5","7:10,3","35:50","1,00","7:10","139","145","--","3","180","262","52,0% L / 48,0% R","0,78","7,5","9,5","95","6:37","182","7:10,3","7:10"
"6","7:10,4","43:01","1,00","7:10","137","142","9","--","180","259","52,3% L / 47,7% R","0,75","7,6","10,1","93","6:41","185","7:10,4","7:10"
"7","7:03,0","50:03","1,00","7:03","136","141","--","6","180","259","52,0% L / 48,0% R","0,80","7,7","9,4","95","6:44","185","7:02","7:02"
"8","7:07,0","57:11","1,00","7:07","141","149","6","7","180","260","52,1% L / 47,9% R","0,79","7,7","9,5","98","6:54","182","7:07","7:07"
"9","7:11,4","1:04:22","1,00","7:11","139","143","3","--","180","257","52,1% L / 47,9% R","0,76","7,7","10,1","93","6:55","182","7:11","7:11"
"10","7:22,3","1:11:44","1,00","7:22","137","143","8","11","180","258","52,1% L / 47,9% R","0,76","7,7","9,9","97","6:55","183","7:22,3","7:22"
"11","6:58,2","1:18:42","1,00","6:58","138","142","9","14","180","256","52,1% L / 47,9% R","0,79","7,9","9,8","91","6:51","182","6:58","6:58"
"12","6:48,3","1:25:31","1,00","6:48","141","147","4","6","180","255","51,9% L / 48,1% R","0,81","8,0","9,7","95","6:07","183","6:48,3","6:48"
"13","7:04,1","1:32:35","1,00","7:04","142","147","--","7","180","254","52,2% L / 47,8% R","0,79","7,9","9,9","97","6:38","182","7:03","7:03"
"14","7:16,2","1:39:51","1,00","7:16","143","147","--","--","179","256","52,2% L / 47,8% R","0,76","8,0","10,5","95","6:27","182","7:16","7:16"
"15","7:05,1","1:46:56","1,00","7:05","144","149","--","4","180","254","52,2% L / 47,8% R","0,79","8,0","9,9","95","6:44","182","7:05","7:05"
"16","7:05,8","1:54:02","1,00","7:06","146","153","3","--","180","254","52,1% L / 47,9% R","0,78","8,0","10,1","93","6:47","182","7:05,8","7:06"
"17","0:45,2","1:54:47","0,11","7:06","148","151","--","--","180","253","52,3% L / 47,7% R","0,81","7,9","9,6","10","6:47","182","0:45","7:04"
"Summary","1:54:47","1:54:47","16,11","7:08","139","153","65","63","180","259","52,1% L / 47,9% R","0,78","7,7","9,7","1.540","6:07","185","1:54:39","7:07"
