"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","7:05,0","7:05,0","1,00","7:05","131","140","3","--","179","264","52,7% L / 47,3% R","0,79","7,1","9,0","97","6:28","182","7:05","7:05"
"2","6:44,7","13:50","1,00","6:45","142","151","--","2","180","257","52,8% L / 47,3% R","0,82","7,3","8,7","100","6:31","182","6:44,7","6:45"
"3","6:48,0","20:38","1,00","6:48","142","148","7","--","180","257","52,3% L / 47,7% R","0,82","7,4","8,8","99","6:34","182","6:48,0","6:48"
"4","6:58,2","27:36","1,00","6:58","143","149","7","--","180","257","52,5% L / 47,5% R","0,79","7,4","9,2","98","6:49","182","6:57","6:57"
"5","6:47,1","34:23","1,00","6:47","146","151","7","5","180","254","52,1% L / 47,9% R","0,80","7,7","9,5","98","6:12","182","6:47","6:47"
"6","6:58,6","41:22","1,00","6:59","148","157","--","5","180","253","52,4% L / 47,6% R","0,79","7,6","9,5","98","6:10","183","6:58,6","6:59"
"7","7:13,1","48:35","1,00","7:13","149","155","4","3","180","258","51,9% L / 48,1% R","0,77","7,4","9,4","101","6:24","182","7:12","7:12"
"8","7:07,1","55:42","1,00","7:07","151","156","10","8","180","256","52,3% L / 47,7% R","0,75","7,7","10,0","95","6:41","182","7:07","7:07"
"9","7:10,5","1:02:52","1,00","7:10","152","159","9","6","177","257","52,4% L / 47,6% R","0,80","7,7","9,5","102","6:40","182","7:02","7:02"
"10","7:00,8","1:09:53","1,00","7:01","152","159","9","12","180","253","52,6% L / 47,4% R","0,78","7,8","9,9","96","6:26","182","7:00","7:00"
"11","7:04,7","1:16:58","1,00","7:05","152","157","9","13","180","254","52,5% L / 47,5% R","0,78","7,7","9,7","98","6:57","183","7:04,7","7:05"
"12","6:45,8","1:23:44","1,00","6:46","152","157","--","6","180","254","52,5% L / 47,5% R","0,83","7,8","9,2","97","6:20","182","6:45,8","6:46"
"13","6:57,5","1:30:41","1,00","6:58","152","157","--","2","179","255","52,0% L / 48,0% R","0,80","7,8","9,6","95","6:47","182","6:56","6:56"
"14","6:54,3","1:37:35","1,00","6:54","157","163","5","7","179","255","51,8% L / 48,2% R","0,81","7,9","9,6","99","6:40","182","6:54,3","6:54"
"15","6:54,7","1:44:30","1,00","6:55","161","164","3","3","180","255","52,4% L / 47,6% R","0,80","7,7","9,4","99","6:35","182","6:54","6:54"
"16","7:04,5","1:51:35","1,00","7:04","160","164","2","--","179","256","52,3% L / 47,7% R","0,79","7,8","9,7","101","6:49","182","7:04,5","7:04"
"17","0:32,7","1:52:07","0,08","6:43","159","162","--","--","174","260","51,5% L / 48,5% R","0,85","8,6","9,9","7","6:46","176","0:32","6:35"
"Summary","1:52:07","1:52:07","16,08","6:58","149","164","76","72","180","256","52,3% L / 47,7% R","0,79","7,6","9,4","1.580","6:10","183","1:51:52","6:57"
